Area,ISO3.Code,LAT,LON,Value.Feed.1992,Value.Feed.1993,Value.Feed.1994,Value.Feed.1995,Value.Feed.1996,Value.Feed.1997,Value.Feed.1998,Value.Feed.1999,Value.Feed.2000,Value.Feed.2001,Value.Feed.2002,Value.Feed.2003,Value.Feed.2004,Value.Feed.2005,Value.Feed.2006,Value.Feed.2007,Value.Feed.2008,Value.Feed.2009,Value.Feed.2010,Value.Feed.2011,Value.Feed.2012,Value.Feed.2013,Value.Feed.2014,Value.Feed.2015,Value.Feed.2016,Value.Feed.2017
Northern America,CAN,57.7487688035733,-101.569822125212,4082040,5113421,4426401,3616204,5145660,1973400,4181805,4566760,3171240,3442260,3984778,3648520,5400700,3965160,4440714,2409562,2042745,2436805,1758990,3671690,3086050,4365270,3786300,4622100,3630640,5971000
South America,BRA,-10.8067736434989,-53.0543400357671,434498,857106,929172,680201,1530635,598387,837282,592321,805656,612976,795024,541752,602561,443906,660223,456709,509854,754996,542093,1011702,480938,1161673,1122300,479850,1499680,1301000
Central Asia,UZB,41.7486026646522,63.2036395282317,3921440,2047055,1743362,1230277,1436754,451700,911483,1269508,1949621,2530540,3794191,4474740,4555152,5633672,6937786,7596905,5901392,6751386,6353471,8402048,5900595,8100748,4552200,6399750,6627920,6768000
Eastern Europe,POL,52.1482602193319,19.3110143084487,18972811,14840327,20704328,15531540,16488811,8107270,16744620,15637280,11796707,16069989,16168607,9106582,15985537,13867656,11912451,14565963,15222106,11647698,14118161,17190442,11245150,14036188,11344500,13327650,10502960,8909000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,8230724,7975426,11012601,8741041,12081270,6254719,11505253,13164557,11316700,12946839,12331474,13567109,13820269,13241353,14045885,14181404,11564883,11898455,13215841,14446534,11953631,14177431,12299400,14329350,14001520,13983000
Western Europe,DEU,51.1337226904078,10.2884850927429,12379548,14480971,20198959,19025890,23933638,11048811,22092506,21326936,22311595,25659898,24543483,22214135,24260846,26100558,28352127,24819639,25518847,23581598,21030826,24548187,17879109,23397046,19011600,22968750,20571200,21175000
Oceania,NZL,-43.9858177329728,170.513011374997,1580409,1604708,1212807,1547397,1147447,814364,1740277,2200185,1957760,2385786,2808947,2908199,3458289,3824629,5054848,4098595,4098225,2069689,4158640,3050543,3133108,4122088,3627900,3849300,4056000,4660000
Russian Federation,RUS,61.6925647074082,99.2165267869251,35893502,19503810,10046296,6176895,12624487,5781831,11320662,9074083,9233902,19454228,9340976,6306540,16564217,11024558,11058129,8157103,22574439,16280132,3601627,7382298,2973191,9525878,8778600,11039700,12848160,17711000
India,IND,22.9250064074085,79.5937037632538,712080,629105,799134,715233,871650,457600,799980,914850,843159,923073,903232,1109972,1163837,1131655,1372146,1461795,1348746,1498844,1852172,2102351,1717356,2188407,1922400,2796150,2137200,6008000
Pakistan,PAK,29.9734600255474,69.4139980631813,324990,295780,338352,309388,395460,183150,375870,381990,388240,391400,357700,407040,413400,412560,455285,510551,389670,445572,475540,555500,425260,567450,432900,637350,450320,437000
United States of America,USA,39.5015541259931,-99.0602406280213,5453415,6771803,10435390,3806387,9794821,3749684,10702868,8395619,7510880,5101590,3093860,5855440,5250180,4158070,3409983,477136,5821800,4541095,3692123,5387800,8998375,7249576,2782800,4348050,5377840,1286000
China,CPR,36.6094323800447,103.865365256658,356952,408082,611374,683213,991493,576562,1257141,2192999,3733271,5717586,5936531,5894904,2707852,3690237,6044765,7578535,6741439,10234582,14281644,29455402,23394676,31232283,25923600,33476100,36749440,36283000
Eastern Africa,ETH,8.65399918813263,39.5512557929378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531000,570150,902720,772000
Middle Africa,AGO,-12.2915534387057,17.5029119215871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26100,68250,106080,106000
Northern Africa,EGY,26.5066199997495,29.8444615131244,1331262,1102199,1544019,1418837,1830801,894460,1698988,1772841,1550785,2007130,1957821,2126519,2306540,2294437,4988203,4985783,4594587,5125400,5686152,6813247,5208701,8891636,6510600,9229500,9566960,5394000
