Area,ISO3.Code,LAT,LON,Value.Food.1992,Value.Food.1993,Value.Food.1994,Value.Food.1995,Value.Food.1996,Value.Food.1997,Value.Food.1998,Value.Food.1999,Value.Food.2000,Value.Food.2001,Value.Food.2002,Value.Food.2003,Value.Food.2004,Value.Food.2005,Value.Food.2006,Value.Food.2007,Value.Food.2008,Value.Food.2009,Value.Food.2010,Value.Food.2011,Value.Food.2012,Value.Food.2013,Value.Food.2014,Value.Food.2015,Value.Food.2016,Value.Food.2017
Northern America,CAN,57.7487688035733,-101.569822125212,2226290,1984593,2791771,2237163,3083066,1467272,2821263,2942618,2509064,2828032,2676558,2907615,2987818,2703573,3057220,3190761,2698040,2686772,2950823,3000901,2710666,3501372,2446200,2932650,3053440,3069000
South America,BRA,-10.8067736434989,-53.0543400357671,17548286,15275323,19252158,16640640,20571031,9712842,18287725,19902854,16661298,20141411,18857390,21992597,21534145,19921370,22464738,23700727,20428371,20538056,23205576,25200957,20645951,27132898,21586500,24530100,25384320,24161000
Central Asia,UZB,41.7486026646522,63.2036395282317,8618328,7808961,9977204,8258044,10998278,5208030,8966648,9825905,8134201,8927173,8418311,9403740,9343700,8335769,9356508,9410488,8244223,8334086,9461568,9902167,8129906,10767063,8598600,10322550,10288720,10173000
Eastern Europe,POL,52.1482602193319,19.3110143084487,20187841,17835526,21405854,17193681,21648707,10384563,18311018,19670267,16877710,18838504,18063788,18888071,18889077,17172100,18492808,18462632,15401330,15273745,16879875,18026909,14744148,18966663,13636800,17140200,16607760,15691000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,8163827,7057763,8461522,7151702,9330690,4624349,8620522,9391682,8095427,9018953,9013851,9824663,9706404,8818942,9941028,10109840,8782801,8771345,9739847,10357246,8576537,11292746,8799300,10439100,10469680,10119000
Western Europe,DEU,51.1337226904078,10.2884850927429,13883077,12671097,15788531,13134634,17233327,7425400,15129023,16064264,13868534,16342620,16069462,16951742,17106927,15933974,18043853,18315743,16056176,15989773,18455170,19735159,15939179,20774935,16389900,19264350,19227520,18645000
Oceania,NZL,-43.9858177329728,170.513011374997,1636884,1499114,1925631,1659704,2103580,999590,1777290,1920405,1596831,1801117,1815277,1986140,1870906,1686111,1960692,2079788,1895101,1996515,2177788,2397057,1909366,2514685,2107800,2391900,2471040,2460000
Russian Federation,RUS,61.6925647074082,99.2165267869251,19889093,17602022,22388756,18063574,22584991,10797452,19563627,20526871,17351051,20007368,19050806,20272223,20009534,18365246,20317410,20689562,17422241,17233349,19423607,20548156,17355806,21890819,17234100,21442050,20224880,18836000
India,IND,22.9250064074085,79.5937037632538,56052862,49017208,60840025,53115075,66171499,33124193,62923317,68388074,62960503,67881713,65445610,67841721,68204537,59411774,70933662,75937217,66365956,64797756,74173696,79053369,63882835,88724079,70209000,81651150,83312320,82877000
Pakistan,PAK,29.9734600255474,69.4139980631813,15218732,14157631,18263553,14339867,18769415,9548868,17726099,19251241,16590523,17423462,16437378,18042995,18551484,16790856,20202302,19560350,17385013,17972228,20074867,22052829,18527726,24214872,19072800,21849450,22064640,21789000
United States of America,USA,39.5015541259931,-99.0602406280213,22438479,20731051,25704705,23351443,27786332,13165859,24520142,26001980,23361599,25695550,23828303,26289375,25981237,23749642,27017537,28258580,23530864,23137242,25670774,27554948,23309896,30118318,23086800,27078450,26952640,26279000
China,CPR,36.6094323800447,103.865365256658,99314646,89873681,109062118,90154435,115927248,54400103,99501047,104889619,88252529,97609755,90877859,97052607,96836702,86939818,97541765,98754230,82128801,79541807,88606986,97013477,80285246,104581371,80730000,95284350,94551600,91146000
Eastern Africa,ETH,8.65399918813263,39.5512557929378,1637747,1143093,2036475,1124566,1772248,711231,1835585,1828542,2320767,2519607,2241455,3354065,2642367,2862197,3286935,2889114,2582368,3820295,3742208,5195768,3402738,3362887,2846274,2956248,3382503,4083901
Middle Africa,AGO,-12.2915534387057,17.5029119215871,706171,488695,666489,470867,557253,362529,751084,884199,859972,929355,1038248,1141071,1189449,1108208,1414872,1179199,1214672,1326525,1451300,1857996,1582850,2229401,1512765,1940491,1998538,1748940
Northern Africa,EGY,26.5066199997495,29.8444615131244,9679414,8368477,12098460,9756128,9654779,6041661,9369791,9347267,10616538,9912788,12306297,8655627,9375054,10505756,9125774,11725142,11215220,8711403,11805669,12364708,8289896,8769448,9115127,7085601,18014822,11245273
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,496469,1008446,794680,786866,1183662,172008,502128,477230,577207,-134399,580504,734099,1258075,1225579,1096318,1294523,1325363,1223684,1429979,2101704,1533787,1394345,1664716,3052443,1571184,2239339
Western Africa,NGA,9.54831841820997,7.99512775408979,1988362,2192109,2132427,1773765,2424954,1363173,3494579,3271172,3436763,3787304,4041872,4091408,4444691,5442638,5708205,5521208,4550033,5630739,6415112,6847155,5064804,7561657,6742054,7887709,8280385,5907433
Central America,MEX,23.9353719022448,-102.576349523987,2234860,2220542,2809209,1662883,3014494,1278520,3216588,3231127,2624588,3455709,3185674,4101738,4349043,3364289,3396271,3395563,2463040,2433974,3348833,3789140,3492329,4708892,3251987,3742708,3748283,3491605
Eastern Asia,JPN,36.019075365944,136.881947315984,7020820,6968899,10081091,5561786,8158468,4302129,7822316,8772233,7664468,7742897,7669779,8298901,8223836,7024003,7996719,8052518,6520377,5399944,7512664,7880012,6964820,9330215,7350206,8769251,8716700,8372011
Southern Asia,IRN,32.5189173176254,54.2854514968914,1674262,1098112,620000,846732,2296527,1803101,803209,5746181,5468436,6250122,2378390,469202,-772689,-590233,-343378,-796799,4175953,6541554,2726955,1957849,4523042,5636667,-461049,3705751,1702824,2853742
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,5582465,5415990,7848105,7121370,8824888,4157229,6929554,7543929,7905003,7826912,9714025,8338505,10962323,9506738,11512284,11190370,7439396,9199143,10566945,12498727,10866706,13541479,10943367,11972540,9400624,10157429
Western Asia,IRQ,33.0368223410367,43.7569114187134,-8424096,-4366901,-8042731,-5134407,-4181619,-308236,-1320856,-1251758,-2562624,-5438490,-4922685,-5496357,-4832028,-4408432,-4280980,-460095,3639701,1826906,129052,3422601,3970859,1976558,-3244619,-2804383,2922968,-2328305
Southern Europe,ITA,43.472476107586,12.2194764873985,-3165838,-3078825,-4033488,-1123011,-1983851,-923666,-1838947,-2114630,-2475508,-1264180,1048038,-1664746,-3101776,1054256,196590,-2474909,-2008719,882374,-75930,-1049541,-625633,-5719724,-878495,-1231156,-8239442,1881785

