Area,ISO3.Code,LAT,LON,Value.PWO.1992,Value.PWO.1993,Value.PWO.1994,Value.PWO.1995,Value.PWO.1996,Value.PWO.1997,Value.PWO.1998,Value.PWO.1999,Value.PWO.2000,Value.PWO.2001,Value.PWO.2002,Value.PWO.2003,Value.PWO.2004,Value.PWO.2005,Value.PWO.2006,Value.PWO.2007,Value.PWO.2008,Value.PWO.2009,Value.PWO.2010,Value.PWO.2011,Value.PWO.2012,Value.PWO.2013,Value.PWO.2014,Value.PWO.2015,Value.PWO.2016,Value.PWO.2017
Northern America,CAN,57.7487688035733,-101.569822125212,177194,149083,156142,143716,190620,78015,203891,263604,269281,308389,299756,277958,252792,169794,132454,404673,424552,739396,891649,764964,727133,805247,3337200,3986850,5680480,3093000
South America,BRA,-10.8067736434989,-53.0543400357671,1065358,962559,1257100,1003944,1461849,634258,1265133,1426200,1175103,1593911,1474583,1607966,1577606,1356181,1612782,1703487,1538118,1383696,1690972,1713168,1356238,1885666,818100,982800,1116960,1108000
Central Asia,UZB,41.7486026646522,63.2036395282317,2236131,1482868,956383,729264,1036123,618949,995406,1328593,1253924,1406629,1426141,1607231,1631603,1678611,2159798,2322832,1779160,2007655,2363047,2864656,1845455,2333221,1259100,1685250,1805440,1602000
Eastern Europe,POL,52.1482602193319,19.3110143084487,4306389,4660036,5219726,3318210,3287149,1683062,2927911,2957112,2522238,3171676,3213897,2889839,4630294,3121791,3259739,3616438,4598822,2931421,3902047,4396720,3190578,5985556,3936600,4475100,4593680,4476000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,1727717,1426671,1936166,1771013,2785741,1100780,1900731,1703682,2101583,1737955,2102314,1790840,1838189,1513159,1888060,2096822,2391940,1962454,2506036,2473812,1886711,2719204,2130300,2384550,2262000,2354000
Western Europe,DEU,51.1337226904078,10.2884850927429,2937813,2525553,3407398,2946806,3949631,2056875,4045768,4525536,3913180,4689044,4540340,5288056,5410364,5746699,7383826,7173547,6143653,7595541,8397667,9465905,7983450,10818370,9550800,10365600,11258000,12611000
Oceania,NZL,-43.9858177329728,170.513011374997,646249,659228,777656,733397,1047655,476195,866668,932714,900397,989028,873076,1316513,1106668,1089156,954594,1059438,1002238,1042329,1173121,1442580,1261831,1591401,1316700,1493100,1443520,1416000
Russian Federation,RUS,61.6925647074082,99.2165267869251,2374695,1583988,1154848,1219965,1080737,172519,541440,1324752,1553152,1286993,1194972,621811,1541382,979856,929118,1439786,1058453,1251494,886632,1224680,855679,1586274,1254600,2116800,2093520,2104000
India,IND,22.9250064074085,79.5937037632538,1728449,1571388,1997837,1795364,2176200,1144001,1999950,2288729,2107896,2307680,2258082,2378512,3103568,2662716,4035720,4299398,4495816,4496533,5051375,5733691,5152066,6565214,4994100,5251050,5539040,5691000
Pakistan,PAK,29.9734600255474,69.4139980631813,1405627,1243380,1378958,1282088,1602514,757281,1538836,1609734,1529627,1484340,1362550,1540543,1562602,1652320,1777170,1929329,1592764,1888427,1794522,2086050,1601102,2175037,1774800,2011800,2060240,2054000
