Area,ISO3.Code,LAT,LON,Value.Seed.1992,Value.Seed.1993,Value.Seed.1994,Value.Seed.1995,Value.Seed.1996,Value.Seed.1997,Value.Seed.1998,Value.Seed.1999,Value.Seed.2000,Value.Seed.2001,Value.Seed.2002,Value.Seed.2003,Value.Seed.2004,Value.Seed.2005,Value.Seed.2006,Value.Seed.2007,Value.Seed.2008,Value.Seed.2009,Value.Seed.2010,Value.Seed.2011,Value.Seed.2012,Value.Seed.2013,Value.Seed.2014,Value.Seed.2015,Value.Seed.2016,Value.Seed.2017
Northern America,CAN,57.7487688035733,-101.569822125212,1273568,960232,1203153,1079219,1284660,569800,999975,1143830,961400,1049570,1022826,1074840,1002760,926350,929402,1006641,916143,891125,878424,961070,861650,1206153,864900,1008000,970320,903000
South America,BRA,-10.8067736434989,-53.0543400357671,793596,727637,818135,945323,1031382,445532,888345,992880,923897,993176,949356,1087632,940062,825474,956383,929482,692184,743147,845465,733071,672481,1120275,1032300,728700,904800,851000
Central Asia,UZB,41.7486026646522,63.2036395282317,2352425,1993557,2636853,1914750,2571709,1205328,1630401,1698422,1325140,1604664,2072687,2648548,2754039,2601296,2825046,3016173,2242116,2862073,3119484,3290505,2469211,3047215,1946700,2155650,2217280,3913000
Eastern Europe,POL,52.1482602193319,19.3110143084487,3779252,3044050,4091069,3770227,5338520,2373608,3669433,3455477,3240361,4341866,2546192,3350270,3858525,3424179,3890053,4259513,3713305,3587509,3966685,3984010,3469910,4484652,3601800,3925950,3489200,3092000
Northern Europe,GBR,53.8833587148482,-2.65799297938563,681962,594307,800915,699764,956358,448525,776947,850546,654927,749803,681424,772541,771395,689248,803228,875641,738809,754083,852331,922690,746905,955477,813600,962850,951600,915000
Western Europe,DEU,51.1337226904078,10.2884850927429,1304997,1182792,1518077,1282496,1642765,786884,1408171,1585537,1305807,1529477,1420636,1559773,1589811,1383453,1589595,1714355,1426584,1411545,1488846,1655904,1313708,1790480,1341900,1590750,1576640,1542000
Oceania,NZL,-43.9858177329728,170.513011374997,395074,334338,492507,453622,575993,288752,557976,593850,487602,531892,555367,719316,668331,571568,682661,751585,654721,634996,719101,739201,619473,748216,620100,675150,637520,699000
Russian Federation,RUS,61.6925647074082,99.2165267869251,6639525,5283747,6918408,6082211,8307000,3575000,6014925,6455310,5684680,6872160,5637940,6621820,7000240,5869430,6789150,7581580,6938730,6414840,6775860,7058700,5896980,7605000,5850000,9364950,10053680,13391000
India,IND,22.9250064074085,79.5937037632538,2545065,2303054,2860410,2274914,3028779,1468280,2766061,2941002,2367215,2713504,2469179,2819038,2796587,2529184,2995412,3071920,2580973,2638001,2964997,3284600,2683325,3580200,2819700,3543750,2820480,3367000
Pakistan,PAK,29.9734600255474,69.4139980631813,791775,814082,931581,850818,1170000,503800,1033140,1050740,1067200,1077380,980000,1118300,1136320,1135495,1251900,1403469,1072043,1225494,1307736,1540000,1168355,1559610,1286100,1449000,1466400,1467000
United States of America,USA,39.5015541259931,-99.0602406280213,2791395,2400121,2695686,2563242,3257510,1384614,2201842,2673319,1998228,2289931,2235086,2307620,2249320,2027465,2385019,2612029,1974204,1844190,2018175,2122575,1801370,2452422,1944900,1920450,1726400,1724000
China,CPR,36.6094323800447,103.865365256658,4750738,4670284,5453788,4659027,5967001,2860001,5075251,5457002,4600004,4944004,4312004,4770004,5088004,4393004,4419104,4491981,4092005,4347736,4783914,5159135,4145012,5382145,3996900,5000100,5393440,5201000
Eastern Africa,ETH,8.65399918813263,39.5512557929378,67629,69719,88342,85242,99592,48067,96746,106270,98196,95119,103168,110250,133619,125320,138806,133875,141050,123574,134920,160880,136105,175961,142200,180600,218400,173000
Middle Africa,AGO,-12.2915534387057,17.5029119215871,376,276,395,261,342,216,311,302,262,355,333,437,469,399,570,615,530,529,375,1158,1045,1353,0,1050,0,0
Northern Africa,EGY,26.5066199997495,29.8444615131244,695309,636335,689319,715010,803769,439325,735370,782482,628044,676419,716132,797568,810840,752621,761697,813384,742757,695077,817928,863524,659494,890130,972900,772800,953680,1145000
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,73584,64907,100762,78811,107226,28123,49149,66905,60119,65509,50023,59170,57033,48986,45349,54870,40489,35481,41263,37806,30715,37707,21600,21000,26000,23000
Western Africa,NGA,9.54831841820997,7.99512775408979,897,856,1505,1307,1797,1535,3056,3287,2904,3130,3069,3592,3667,3488,1927,2557,2878,3920,5847,5899,4270,5782,3600,4200,4160,16000
Central America,MEX,23.9353719022448,-102.576349523987,99526,98806,113884,82076,103461,45822,74995,80911,67850,71853,64803,60266,73512,67506,104114,108729,107412,69342,77832,69169,65888,86580,91800,128100,115440,108000
Eastern Asia,JPN,36.019075365944,136.881947315984,103465,103541,104374,71281,96975,33641,62495,71059,59427,57621,73356,65990,64328,59410,65488,60691,53221,53864,59328,61750,48766,64189,57600,46200,71760,36000
Southern Asia,IRN,32.5189173176254,54.2854514968914,1214984,1037921,1219209,994040,1283952,604476,916724,1018939,902615,1092062,1106728,1178432,1252708,1138575,1405104,1181527,1107384,1204143,1238401,1376820,1111558,1371334,1259100,1507800,1841840,1058000
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,9551,7024,7477,5205,6875,3365,6623,5446,4535,5327,5870,7027,7310,7182,6496,6753,5939,5809,6018,6998,5855,7570,6300,7350,6240,4000
Western Asia,IRQ,33.0368223410367,43.7569114187134,2337380,2042333,2600559,2040496,2642592,1226017,2133301,2312128,2009218,2337823,2225438,2432402,2557575,2183933,2181205,2125788,1787758,1791317,1977161,2130525,1698869,2242479,1732500,1908900,1825200,1755000
Southern Europe,ITA,43.472476107586,12.2194764873985,1683099,1450729,1736761,1376642,1790624,797274,1460577,1563315,1363865,1690825,1518153,1738849,1694953,1414735,1515928,1441698,1252456,1005332,1081320,1134866,1018653,1296496,1125900,1292550,1385280,1176000

