"run","tick","OriginOfConsumedResouces"
1,1.0,"Western Europe:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|2788009.8;Oceania|0.0;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,1.0,"Western Africa:Northern America|42853.35;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|4654.0;Western Europe|50269.4;Oceania|21555.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|82455.65;China|0.0;"
1,1.0,"Oceania:Northern America|0.0;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|0.0;Western Europe|0.0;Oceania|355557.8;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|0.0;China|0.0;"
1,1.0,"South America:Northern America|77337.2;South America|1307196.84;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8399.16;Western Europe|90725.2;Oceania|38899.05;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|148812.08;China|0.0;"
1,1.0,"Northern Africa:Northern America|216434.4;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|23507.6;Western Europe|253899.2;Oceania|108861.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|416461.23;China|0.0;"
1,1.0,"Southern Asia:Northern America|78837.35;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8562.52;Western Europe|92484.6;Oceania|39654.95;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|151699.37;China|0.0;"
1,1.0,"Eastern Europe:Northern America|117961.05;South America|0.0;Central Asia|0.0;Eastern Europe|3243728.0;Northern Europe|12811.6;Western Europe|138379.0;Oceania|59330.75;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|226978.96;China|0.0;"
1,1.0,"Middle Africa:Northern America|9460.8;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|1028.64;Western Europe|11100.0;Oceania|4760.95;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|18206.4;China|0.0;"
1,1.0,"Central America:Northern America|75209.6;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|8169.52;Western Europe|88226.6;Oceania|37828.95;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|144715.81;China|0.0;"
1,1.0,"Southern Africa:Northern America|21904.65;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|2380.0;Western Europe|25695.6;Oceania|11017.7;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|42149.27;China|0.0;"
1,1.0,"South-Eastern Asia:Northern America|109883.6;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|11935.48;Western Europe|128904.8;Oceania|55270.65;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|211436.05;China|0.0;"
1,1.0,"China:Northern America|201675.8;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|21903.76;Western Europe|236584.4;Oceania|101438.5;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|388062.01;China|8767947.0;"
1,1.0,"Pakistan:Northern America|60955.35;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|6621.16;Western Europe|71505.6;Oceania|30659.35;Russian Federation|0.0;India|0.0;Pakistan|1262012.0;United States of America|117289.12;China|0.0;"
1,1.0,"Eastern Asia:Northern America|190608.65;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|20702.92;Western Europe|223602.6;Oceania|95870.9;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|366769.17;China|0.0;"
1,1.0,"Russian Federation:Northern America|142216.95;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|15447.0;Western Europe|166834.4;Oceania|71533.05;Russian Federation|3471510.13;India|0.0;Pakistan|0.0;United States of America|273653.45;China|0.0;"
1,1.0,"Western Asia:Northern America|38782.6;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|4213.48;Western Europe|45493.6;Oceania|19505.6;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|74624.65;China|0.0;"
1,1.0,"Southern Europe:Northern America|70348.45;South America|0.0;Central Asia|0.0;Eastern Europe|0.0;Northern Europe|7640.84;Western Europe|82525.6;Oceania|35383.1;Russian Federation|0.0;India|0.0;Pakistan|0.0;United States of America|135364.7;China|0.0;"
